WhatsApp,com.whatsapp,com.whatsapp.Main
Instagram,com.instagram.android,com.instagram.mainactivity.MainActivity
Facebook,com.facebook.katana,com.facebook.katana.LoginActivity
Messenger,com.facebook.orca,com.facebook.orca.auth.LoginActivity
X-Twitter,com.twitter.android,com.twitter.android.StartActivity
Snapchat,com.snapchat.android,com.snapchat.android.landing.LandingPageActivity
TikTok,com.zhiliaoapp.musically,com.ss.android.ugc.aweme.main.MainActivity
Telegram,org.telegram.messenger,org.telegram.messenger.LaunchActivity
Discord,com.discord,com.discord.main.MainActivity
LinkedIn,com.linkedin.android,com.linkedin.android.authenticator.LaunchActivity
YouTube,com.google.android.youtube,com.google.android.apps.youtube.app.watchhome.WatchHomeActivity
Chrome,com.android.chrome,com.google.android.apps.chrome.Main
Gmail,com.google.android.gm,com.google.android.gm.ConversationListActivityGmail
Maps,com.google.android.apps.maps,com.google.android.maps.MapsActivity
PlayStore,com.android.vending,com.android.vending.AssetBrowserActivity
Photos,com.google.android.apps.photos,com.google.android.apps.photos.home.HomeActivity
Drive,com.google.android.apps.docs,com.google.android.apps.docs.app.NewMainProxyActivity
Calendar,com.google.android.calendar,com.android.calendar.AllInOneActivity
Keep,com.google.android.keep,com.google.android.apps.keep.ui.activities.BrowseActivity
Phone,com.google.android.dialer,com.google.android.dialer.extensions.GoogleDialtactsActivity
Messages,com.google.android.apps.messaging,com.google.android.apps.messaging.ui.ConversationListActivity
Contacts,com.google.android.contacts,com.android.contacts.activities.PeopleActivity
Settings,com.android.settings,com.android.settings.Settings
Calculator,com.google.android.calculator,com.android.calculator2.Calculator
Clock,com.google.android.deskclock,com.android.deskclock.DeskClock
Camera,com.android.camera2,com.android.camera.CameraLauncher
Spotify,com.spotify.music,com.spotify.music.MainActivity
Netflix,com.netflix.mediaclient,com.netflix.mediaclient.ui.launch.UIWebViewActivity
Twitch,tv.twitch.android.app,tv.twitch.android.app.main.MainActivity
DisneyPlus,com.disney.disneyplus,com.disney.disneyplus.MainActivity
Amazon,com.amazon.mShop.android.shopping,com.amazon.mShop.home.HomeActivity
PayPal,com.paypal.android.p2pmobile,com.paypal.android.p2pmobile.launcher.InternalLauncher
Pinterest,com.pinterest,com.pinterest.activity.task.TasksActivity
Shazam,com.shazam.android,com.shazam.android.activities.MainActivity
Revolut,com.revolut.revolut,com.revolut.revolut.MainActivity
